episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count
100,0.999764875,-165000,-38485.0,16872.7718359375,539,0.13,29
200,0.999527375,10000,-38620.0,14641.536127929687,1071,0.08,31
300,0.999289875,54000,-36430.0,14470.124453125,1598,0.03,30
400,0.999052375,-150000,-27855.0,16352.71666015625,2136,0.12,24
500,0.998814875,-197000,-27415.0,15479.187783203124,2693,0.15,24
600,0.998577375,1500,-25315.0,16605.700571289064,3241,0.03,24
700,0.998339875,-7000,-38635.0,15769.239965820312,3779,0.19,30
800,0.998102375,33000,-31280.0,16089.38466796875,4311,0.06,27
900,0.997864875,-130000,-44575.0,15780.084750976563,4841,0.08,34
1000,0.997627375,-8000,-32315.0,15493.991079101563,5373,0.11,30
1100,0.997389875,-18000,-30260.0,15253.787778320313,5924,0.07,24
1200,0.997152375,0,-34720.0,15487.107729492187,6464,0.07,30
1300,0.996914875,-20000,-21440.0,15456.019301757813,7026,0.02,20
1400,0.996677375,4000,-31205.0,15535.279609375,7565,0.1,26
1500,0.996439875,-148000,-35375.0,15001.45380859375,8110,0.08,32
1600,0.996202375,5000,-36825.0,14438.294106445312,8654,0.13,30
1700,0.995964875,5000,-44770.0,15916.03125,9193,0.13,34
1800,0.995727375,21000,-28875.0,15536.349189453125,9742,0.17,26
1900,0.995489875,11000,-48925.0,15357.746401367187,10258,0.15,37
2000,0.995252375,-161000,-38985.0,16048.942836914062,10780,0.04,31
2100,0.995014875,21000,-36850.0,16132.904697265625,11323,0.13,28
2200,0.994777375,-8000,-30320.0,15660.140747070312,11875,0.06,26
2300,0.994539875,0,-40075.0,15354.205092773438,12400,0.14,32
2400,0.994302375,12000,-19730.0,15029.716528320312,12961,0.13,20
2500,0.994064875,31000,-40440.0,14848.48640625,13499,0.06,31
2600,0.993827375,15000,-32020.0,15539.47373046875,14048,0.15,27
2700,0.993589875,-2000,-35400.0,15208.363217773438,14591,0.13,28
2800,0.993352375,-150000,-22830.0,13784.598295898437,15140,0.17,23
2900,0.993114875,-11000,-31940.0,14789.792954101562,15697,0.15,24
3000,0.992877375,0,-34105.0,14138.6732421875,16248,0.03,25
3100,0.992639875,-160000,-29450.0,14859.126494140624,16781,0.04,28
3200,0.992402375,10000,-33895.0,14443.136025390624,17327,0.07,25
